,X,Y,time
0,-122.2964396,47.624801399999996,1530756076.0
1,-122.29641550000001,47.6248403,1530756085.0
2,-122.2963685,47.6248412,1530756092.0
3,-122.2963162,47.624846600000005,1530756100.0
4,-122.29626529999999,47.6248285,1530756109.0
5,-122.29625190000002,47.624793200000006,1530756117.0
6,-122.29629879999999,47.6247806,1530756125.0
7,-122.2963162,47.624806799999995,1530756131.0
8,-122.29638329999999,47.6247996,1530756141.0
9,-122.29637520000001,47.6247743,1530756147.0
10,-122.2964517,47.6247887,1530756159.0
11,-122.2965,47.624857399999996,1530756176.0
12,-122.2964356,47.624871,1530756186.0
13,-122.29634709999999,47.6248773,1530756199.0
14,-122.29625449999999,47.6248791,1530756213.0
15,-122.2962787,47.62484570000001,1530756221.0
16,-122.2963404,47.624806799999995,1530756234.0
17,-122.29643020000002,47.6248511,1530756251.0
18,-122.2964544,47.624806799999995,1530756261.0
19,-122.29650929999998,47.624758899999996,1530756275.0
20,-122.296508,47.6247697,1530756277.0
21,-122.2965187,47.6248113,1530756286.0
22,-122.2964356,47.6247887,1530756300.0
23,-122.29638729999999,47.624770700000006,1530756308.0
24,-122.29633899999999,47.6247598,1530756316.0
25,-122.2962009,47.624911700000006,1530756355.0
26,-122.2962264,47.624843,1530756371.0
27,-122.29619950000001,47.624806799999995,1530756380.0
28,-122.296225,47.624793200000006,1530756385.0
29,-122.2962425,47.6247526,1530756394.0
30,-122.2963404,47.6247833,1530756410.0
31,-122.2963001,47.624860999999996,1530756429.0
32,-122.29633899999999,47.6248945,1530756438.0
33,-122.2964396,47.6248936,1530756453.0
34,-122.2964758,47.624846600000005,1530756465.0
35,-122.29653619999999,47.6248412,1530756474.0
36,-122.29652140000002,47.6248945,1530756486.0
37,-122.29648519999999,47.6248845,1530756492.0
38,-122.296398,47.624903499999995,1530756506.0
39,-122.29630279999999,47.6249071,1530756520.0
40,-122.2962639,47.6248882,1530756527.0
41,-122.2961767,47.6248791,1530756540.0
42,-122.29619280000001,47.62484570000001,1530756548.0
43,-122.29622909999999,47.6248158,1530756557.0
44,-122.2963994,47.6248104,1530756582.0
45,-122.29642220000001,47.624751700000004,1530756596.0
46,-122.29633899999999,47.6247417,1530756609.0
47,-122.2962679,47.6247688,1530756621.0
48,-122.29614860000001,47.6247562,1530756639.0
49,-122.2963739,47.6248592,1530756680.0
50,-122.2963886,47.624883600000004,1530756686.0
51,-122.2964168,47.6248565,1530756693.0
52,-122.2963511,47.62483029999999,1530756704.0
53,-122.2964101,47.6248086,1530756714.0
54,-122.29639399999999,47.6247887,1530756719.0
55,-122.29640069999999,47.6247598,1530756726.0
56,-122.2963591,47.6247833,1530756734.0
57,-122.29620359999998,47.6248619,1530756763.0
58,-122.29623980000001,47.6248565,1530756769.0
59,-122.2962881,47.624857399999996,1530756776.0
60,-122.2962358,47.6248276,1530756786.0
61,-122.2963122,47.62489,1530756804.0
62,-122.29633500000001,47.6248601,1530756812.0
63,-122.2963632,47.624883600000004,1530756818.0
64,-122.29647050000001,47.6248737,1530756835.0
65,-122.2964986,47.624874600000005,1530756839.0
66,-122.2964637,47.6248393,1530756848.0
67,-122.2965053,47.62482670000001,1530756855.0
68,-122.2964611,47.6247697,1530756869.0
